tiempo,es_diurno,azimut_deg,elevacion_deg,phi_newton_rad,beta_newton_rad,error_newton_deg,iter_newton,ok_newton,motivo_newton,phi_grad_rad,beta_grad_rad,error_grad_deg,iter_grad,ok_grad,motivo_grad,alpha_grad
2026-02-03T06:16:00-05:00,True,106.47198324338909,-2.737304770456927,1.6206126691261413,0.28715298377687454,0.0,1,True,norma(F) < eps_f,1.6207005675687736,0.2871564474479782,0.004834070382446771,19,True,OK,0.45
2026-02-03T06:17:00-05:00,True,106.4677496150097,-2.497584771857886,1.6162495075275511,0.28713565912094136,0.0,1,True,norma(F) < eps_f,1.6163379245289482,0.287139197033881,0.004862741386859426,19,True,OK,0.45
2026-02-03T06:18:00-05:00,True,106.46381381736771,-2.2578594195967128,1.611886362783827,0.2871183316942557,0.0,1,True,norma(F) < eps_f,1.6119753019902276,0.28712194468108465,0.004891616887666646,19,True,OK,0.45
2026-02-03T06:19:00-05:00,True,106.46017555855784,-2.0181289222704506,1.6075232319699377,0.2871010017492398,0.0,1,True,norma(F) < eps_f,1.607612697068661,0.28710469065562627,0.004920699136155851,19,True,OK,0.45
2026-02-03T06:20:00-05:00,True,106.45683457923187,-1.7783939710509509,1.6031601209542026,0.28708366956617365,0.0,1,True,norma(F) < eps_f,1.603250115671031,0.2870874352467745,0.004949990010470924,19,True,OK,0.45
2026-02-03T06:21:00-05:00,True,106.45379063870092,-1.5386547729290472,1.598797026802426,0.2870663353976479,0.0,1,True,norma(F) < eps_f,1.5988875549068933,0.2870701787193175,0.004979492782361823,19,True,OK,0.45
2026-02-03T06:22:00-05:00,True,106.4510435243229,-1.298911696079641,1.5944339495226567,0.28704899950544904,0.0,1,True,norma(F) < eps_f,1.5945250148249617,0.2870529213475359,0.005009209019187448,19,True,OK,0.45
2026-02-03T06:23:00-05:00,True,106.44859304905117,-1.0591651068652939,1.5900708890976962,0.2870316621514715,0.0,1,True,norma(F) < eps_f,1.5901624954502154,0.2870356634042115,0.005039141309240989,19,True,OK,0.45
2026-02-03T06:24:00-05:00,True,106.4464390514123,-0.21262273033996815,1.5746656042104508,0.28704247905971175,0.0,1,True,norma(F) < eps_f,1.5747592023806778,0.2870467698702084,0.005149232941796176,19,True,OK,0.45
2026-02-03T06:25:00-05:00,True,106.44458139546805,-0.01326626340760717,1.5710377421059971,0.28701208155119984,0.0,1,True,norma(F) < eps_f,1.5711317939632892,0.2870164414174592,0.005174371239260997,19,True,OK,0.45
2026-02-03T06:26:00-05:00,True,106.44301997079508,0.18740120055305948,1.567386086860052,0.2869832588132586,0.0,1,True,norma(F) < eps_f,1.5674805993721188,0.2869876888918488,0.0051998947090714535,19,True,OK,0.45
2026-02-03T06:27:00-05:00,True,106.4417546923327,0.3903519707097654,1.563692936745173,0.28695590535555165,0.0,1,True,norma(F) < eps_f,1.563787919255435,0.2869604071737142,0.005225934821194383,19,True,OK,0.45
2026-02-03T06:28:00-05:00,True,106.44078550089581,0.596041172542072,1.5599500021365766,0.2869298714944136,0.0,1,True,norma(F) < eps_f,1.5600454651335838,0.28693444677338475,0.0052525555699708,19,True,OK,0.45
2026-02-03T06:29:00-05:00,True,106.44011236237384,0.8045982687753479,1.5561549200324094,0.2869049957393073,0.0,1,True,norma(F) < eps_f,1.5562508743769712,0.28690964628197424,0.0052797777176703045,19,True,OK,0.45
2026-02-03T06:30:00-05:00,True,106.43973526826514,1.0159614592885018,1.5523088081447423,0.2868811223086156,0.0,5,True,norma(F) < eps_f,1.5524052646110906,0.28688584993183386,0.005307597023545702,19,True,OK,0.45
2026-02-03T06:31:00-05:00,True,106.43965423552498,1.2299659192219932,1.5484146590914791,0.2868581094282641,0.0,5,True,norma(F) < eps_f,1.5485116281201154,0.28686291592613933,0.005335995268348203,19,True,OK,0.45
2026-02-03T06:32:00-05:00,True,106.43986930659834,1.4463989052253252,1.5444763375477137,0.28683583232808085,0.0,5,True,norma(F) < eps_f,1.5445738291324798,0.28684071945173084,0.005364948313076376,19,True,OK,0.45
2026-02-03T06:33:00-05:00,True,106.44038054999177,1.6650327933504336,1.540497979009875,0.2868141833769283,0.0,5,True,norma(F) < eps_f,1.5405960026625154,0.2868191528289932,0.005394429590624723,19,True,OK,0.45
2026-02-03T06:34:00-05:00,True,106.44118805817837,1.8856431293475926,1.5364836612939186,0.28679307089054873,8.537736462515939e-07,4,True,norma(F) < eps_f,1.5365822260619293,0.286798124320059,0.005424412951825346,19,True,OK,0.45
2026-02-03T06:35:00-05:00,True,106.4422919503573,2.1080193229216886,1.5324372099874304,0.2867724172511482,0.0,4,True,norma(F) < eps_f,1.5325363244374506,0.28677755626255186,0.0054548741487786935,19,True,OK,0.45
2026-02-03T06:36:00-05:00,True,106.44369237132358,2.3319685615418146,1.5283621271020102,0.2867521570384119,0.0,4,True,norma(F) < eps_f,1.5284617994253136,0.28675738319033917,0.005485791203221887,19,True,OK,0.45
2026-02-03T06:37:00-05:00,True,106.44538949103752,2.5573173631379396,1.524261562912235,0.28673223517155544,0.0,4,True,norma(F) < eps_f,1.5243618009423416,0.2867375499862601,0.005517144560697078,19,True,OK,0.45
2026-02-03T06:38:00-05:00,True,106.4473835052239,2.783911269302133,1.5201383215039137,0.286712605278196,0.0,4,True,norma(F) < eps_f,1.5202391327620024,0.28671801024593435,0.005548917432882981,19,True,OK,0.45
2026-02-03T06:39:00-05:00,True,106.44967463527368,3.0116136413420174,1.5159948826822642,0.28669322827196225,0.0,4,True,norma(F) < eps_f,1.5160962744223685,0.2866987248573982,0.005581094818562398,19,True,OK,0.45
